"",gene_symbol,GSM4781322,GSM4781323,GSM4781324,GSM4781325,GSM4781326,GSM4781327,GSM4781328,GSM4781329
ENSG00000248300,LINC02360,0,0,2,2,0,1,0,0
ENSG00000248307,LINC00616,1,0,0,0,0,5,0,3
ENSG00000248308,LOC100419319,0,0,0,0,0,0,0,0
ENSG00000248309,MEF2C-AS1,16,39,11,8,23,3,50,1
ENSG00000248313,CYP4F27P,2,0,0,0,0,0,0,0
ENSG00000248315,MTND4LP2,0,0,0,0,0,0,0,0
ENSG00000248318,LOC101927543,0,0,0,0,0,0,0,0
ENSG00000248319,LINC02275,26,50,16,75,22,56,51,47
ENSG00000248323,LUCAT1,104,175,56,54,119,66,163,48
ENSG00000248327,NOL8P1,0,0,0,0,0,0,0,0
ENSG00000248328,MTCO3P28,0,0,0,0,0,0,0,0
ENSG00000248329,APELA,0,0,0,0,0,0,0,0
ENSG00000248330,LINC00613,0,0,0,0,0,0,0,0
ENSG00000248332,TUB-AS1,0,0,0,0,0,4,0,0
ENSG00000248333,CDK11B,1727,1138,1319,1705,1139,1089,1054,1894
ENSG00000248338,LINC02472,0,4,0,0,0,0,0,0
ENSG00000248339,LINC02504,7,5,10,11,4,14,4,2
ENSG00000248355,ARL2BPP6,0,0,0,0,0,0,0,0
ENSG00000248360,LINC00504,2948,3830,2330,2712,2499,2958,3293,1895
ENSG00000248364,OR7E86P,0,0,0,0,0,0,0,0
ENSG00000248366,TRAJ51,0,0,0,0,0,0,0,0
ENSG00000248371,LINC02056,52,42,35,60,69,58,99,27
ENSG00000248376,LOC100127981,0,0,2,0,0,1,0,0
ENSG00000248377,HMGN1P9,0,0,0,0,0,0,0,0
ENSG00000248383,PCDHAC1,2,0,0,5,8,3,7,7
ENSG00000248385,TARM1,0,0,0,0,0,0,1,0
ENSG00000248391,LINC02064,0,0,0,0,0,6,1,0
ENSG00000248396,TOMM22P4,0,0,0,0,0,0,0,0
ENSG00000248401,LOC391674,0,0,0,0,0,0,0,0
ENSG00000248403,NACAP6,0,0,2,0,0,0,1,0
ENSG00000248405,PRR5-ARHGAP8,0,0,0,0,0,0,0,0
ENSG00000248406,LOC112268242,0,6,0,0,24,0,0,0
ENSG00000248418,UBL5P1,0,0,0,0,0,0,0,0
ENSG00000248419,LOC100130072,0,0,0,0,0,0,0,0
ENSG00000248420,MTATP6P9,0,0,0,0,0,0,0,0
ENSG00000248424,OR51K1P,0,0,0,0,0,1,0,0
ENSG00000248429,FAM198B-AS1,143,128,99,413,83,63,96,252
ENSG00000248430,HMGB3P16,0,0,0,0,1,2,0,0
ENSG00000248439,RPL23AP94,0,0,0,0,0,0,0,0
ENSG00000248441,LINC01197,287,167,277,73,233,338,268,75
ENSG00000248442,OR10J7P,0,0,0,0,0,0,0,0
ENSG00000248445,SEMA6A-AS1,29,24,12,10,2,19,12,3
ENSG00000248447,LOC100533670,0,0,0,0,0,0,0,0
ENSG00000248449,PCDHGB8P,163,175,111,189,214,195,168,105
ENSG00000248455,LINC02217,0,0,0,0,0,0,0,0
ENSG00000248461,LINC02119,0,0,0,0,3,0,0,0
ENSG00000248462,NENFP3,0,0,0,0,0,0,0,0
ENSG00000248464,FGF10-AS1,0,0,0,0,0,0,0,0
ENSG00000248466,LOC651644,0,0,0,0,0,2,0,0
ENSG00000248468,LOC105374114,2,0,0,0,3,0,0,0
ENSG00000248469,LOC100996385,1,0,0,0,0,0,1,0
ENSG00000248472,DDX11L16,3,3,9,1,4,1,1,11
ENSG00000248473,LINC01962,1,1,5,0,0,16,1,0
ENSG00000248477,NAIPP3,0,0,0,0,0,0,0,0
ENSG00000248483,POU5F2,352,424,308,305,447,384,517,192
ENSG00000248485,PCP4L1,1,3,4,6,3,3,3,0
ENSG00000248487,ABHD14A,291,228,423,209,317,242,200,401
ENSG00000248488,PGAM4P2,0,0,0,0,0,0,0,0
ENSG00000248489,LINC02062,12,6,2,14,8,6,3,2
ENSG00000248492,ZFAT-AS1,0,0,0,0,0,0,1,0
ENSG00000248496,ZBED9,1,2,2,0,4,0,3,0
ENSG00000248498,ASNSP1,4,0,2,8,3,1,1,22
ENSG00000248505,LINC02380,0,0,0,0,0,0,0,0
ENSG00000248506,TUBAP10,0,0,0,0,0,2,0,0
ENSG00000248507,OR5H4P,0,0,0,0,0,0,0,0
ENSG00000248508,SRP14-AS1,82,87,48,129,68,62,80,66
ENSG00000248522,SBF1P1,2,3,1,0,0,4,1,7
ENSG00000248527,MTATP6P1,387,284,304,62,484,366,319,107
ENSG00000248529,LOC101928651,1,0,3,0,0,0,0,0
ENSG00000248530,BCL2L12P1,1,0,4,0,0,0,0,0
ENSG00000248538,LOC157273,0,0,0,0,0,0,0,0
ENSG00000248540,LOC283731,13,22,6,19,5,21,9,0
ENSG00000248542,LOC391768,0,0,0,0,0,0,0,0
ENSG00000248546,ANP32C,5,1,12,0,16,2,7,10
ENSG00000248548,MTND4P8,1,0,0,0,0,0,0,0
ENSG00000248550,OTX2-AS1,2,1,2,28,5,12,21,0
ENSG00000248553,OR52H2P,8,5,3,1,9,2,7,5
ENSG00000248555,LINC01339,0,0,0,0,0,0,0,0
ENSG00000248560,LOC729707,0,0,3,0,0,0,0,0
ENSG00000248565,TECRP2,0,0,2,3,0,0,1,0
ENSG00000248572,EGFLAM-AS2,0,0,0,0,0,1,0,0
